frame_no,x,y,fit_quality
289,639,511,0.993844
290,637,515,0.987567
291,637,515,0.986053
292,636,516,0.983277
293,637,514,0.989835
294,636,516,0.980655
295,635,518,0.97922
296,637,515,0.982265
297,639,511,0.995517
298,639,511,0.995398
299,639,511,0.995792
300,639,512,0.995604
301,639,512,0.99562
302,639,510,0.992606
303,639,511,0.993585
304,637,514,0.984613
305,637,514,0.984761
306,639,511,0.995667
307,636,516,0.98455
308,637,515,0.985077
309,637,515,0.986159
310,639,511,0.995092
311,636,516,0.980623
312,637,515,0.985393
313,636,516,0.984394
314,636,517,0.981515
315,636,516,0.984297
316,636,516,0.984749
317,639,510,0.992355
318,636,516,0.982391
319,638,513,0.991142
320,638,513,0.992103
321,637,514,0.987576
322,636,516,0.985332
323,637,515,0.986368
324,637,514,0.987864
325,637,514,0.986707
326,639,511,0.995679
327,636,515,0.985917
328,639,511,0.996191
329,639,511,0.996225
330,635,517,0.980074
331,636,516,0.983267
332,636,516,0.984582
333,636,515,0.986613
334,636,515,0.984608
335,636,516,0.98482
336,636,516,0.983757
337,639,511,0.996252
338,636,516,0.98478
339,639,512,0.996008
340,635,516,0.982601
341,636,515,0.985956
342,636,516,0.982477
343,636,516,0.983466
344,639,511,0.996454
345,636,516,0.98294
346,635,517,0.98075
347,636,516,0.982783
348,636,516,0.983221
349,638,512,0.994123
350,636,515,0.984008
351,636,515,0.984659
352,637,515,0.985713
353,636,516,0.984538
354,639,512,0.995134
355,639,511,0.995644
356,637,514,0.987313
357,637,514,0.987088
358,636,516,0.98359
359,637,514,0.988575
360,639,511,0.995424
361,637,514,0.986765
362,639,511,0.995656
363,637,514,0.987388
364,636,515,0.985493
365,636,515,0.98531
366,639,512,0.995465
367,639,511,0.995684
368,639,511,0.995298
369,639,512,0.995279
370,639,512,0.995643
371,639,511,0.994473
372,637,514,0.985281
373,639,512,0.995441
374,639,511,0.995304
375,636,516,0.984258
376,636,516,0.983502
377,636,515,0.982339
378,636,516,0.983541
379,636,515,0.985325
380,637,515,0.986847
381,637,513,0.988755
382,638,513,0.988527
383,639,511,0.994495
384,636,515,0.983593
385,639,511,0.995607
386,639,511,0.993444
387,639,511,0.993825
